jurisdiction_id,jurisdiction_type,median_income_k,pct_college,competitive_dist
1,suburban,76.3,0.278,1
2,suburban,64.3,0.573,0
3,suburban,74.4,0.402,0
4,urban,64.4,0.466,0
5,urban,34.2,0.183,1
6,suburban,44.6,0.33,0
7,rural,57.9,0.223,1
8,suburban,68.8,0.535,1
9,suburban,79.3,0.423,1
10,suburban,59.0,0.559,1
11,rural,74.4,0.307,0
12,urban,65.7,0.224,0
13,suburban,50.6,0.272,0
14,rural,75.0,0.465,1
15,urban,60.6,0.347,1
16,suburban,51.3,0.425,1
17,rural,64.1,0.194,0
18,urban,49.2,0.273,1
19,rural,51.6,0.354,1
20,suburban,86.1,0.297,0
21,suburban,60.1,0.575,0
22,urban,85.8,0.619,0
23,urban,70.3,0.456,1
24,suburban,64.5,0.208,0
25,rural,14.9,0.559,0
26,rural,53.3,0.48,0
27,urban,56.5,0.371,0
28,rural,55.2,0.565,0
29,suburban,79.2,0.563,0
30,suburban,97.8,0.448,0
31,rural,31.7,0.413,0
32,suburban,54.3,0.189,1
33,rural,69.6,0.205,1
34,rural,48.6,0.218,0
35,urban,64.0,0.236,0
36,suburban,31.4,0.297,1
37,suburban,67.3,0.501,0
38,suburban,83.8,0.618,1
39,suburban,52.9,0.279,0
40,suburban,61.0,0.281,0
