official_id,jurisdiction_id,party,office_type,years_in_office,vote_share,gender,age_group,jurisdiction_type,median_income_k,pct_college,competitive_dist,ideological_distance,cross_party_collab,collaborative_identity
1,1,Democrat,council_member,8,0.451,female,40_to_55,suburban,76.3,0.278,1,3.1,3.2,0
2,1,Republican,council_member,8,0.781,male,40_to_55,suburban,76.3,0.278,1,4.6,3.6,1
3,1,Republican,council_member,4,0.448,male,over_55,suburban,76.3,0.278,1,4.8,3.4,1
4,1,Republican,commissioner,3,0.624,male,40_to_55,suburban,76.3,0.278,1,4.2,5,0
5,1,Independent,commissioner,8,0.497,male,40_to_55,suburban,76.3,0.278,1,3.0,4.4,1
6,2,Republican,council_member,14,0.74,male,over_55,suburban,64.3,0.573,0,7.0,2.3,1
7,2,Democrat,mayor,2,0.764,female,40_to_55,suburban,64.3,0.573,0,2.5,3.0,1
8,2,Democrat,council_member,8,0.606,male,40_to_55,suburban,64.3,0.573,0,6.0,2.7,1
9,2,Republican,council_member,11,0.85,female,over_55,suburban,64.3,0.573,0,5.3,3.3,0
10,2,Republican,mayor,15,0.706,male,under_40,suburban,64.3,0.573,0,4.8,2.0,1
11,3,Democrat,mayor,8,0.59,female,over_55,suburban,74.4,0.402,0,4.0,2.0,1
12,3,Republican,council_member,4,0.852,female,under_40,suburban,74.4,0.402,0,4.9,3.4,1
13,3,Republican,council_member,7,0.736,male,40_to_55,suburban,74.4,0.402,0,5.1,4.0,0
14,3,Democrat,council_member,5,0.713,female,over_55,suburban,74.4,0.402,0,4.6,2.2,1
15,3,Democrat,commissioner,5,0.671,male,40_to_55,suburban,74.4,0.402,0,4.4,3.1,0
16,4,Republican,commissioner,7,0.734,male,40_to_55,urban,64.4,0.466,0,6.3,1.6,0
17,4,Republican,commissioner,8,0.818,male,over_55,urban,64.4,0.466,0,4.9,2.6,0
18,4,Republican,commissioner,8,0.543,male,under_40,urban,64.4,0.466,0,4.0,3.5,1
19,4,Republican,council_member,10,0.797,male,40_to_55,urban,64.4,0.466,0,4.4,2.2,0
20,4,Democrat,council_member,11,0.852,female,over_55,urban,64.4,0.466,0,4.3,3.4,1
21,5,Democrat,council_member,11,0.621,nonbinary,under_40,urban,34.2,0.183,1,3.9,2.9,1
22,5,Republican,council_member,7,0.588,female,over_55,urban,34.2,0.183,1,4.3,2.8,0
23,5,Republican,council_member,10,0.727,female,over_55,urban,34.2,0.183,1,3.7,2.9,0
24,5,Democrat,council_member,13,0.672,female,40_to_55,urban,34.2,0.183,1,2.8,2.3,0
25,5,Republican,council_member,7,0.655,male,over_55,urban,34.2,0.183,1,4.0,2.2,0
26,6,Democrat,commissioner,8,0.729,female,40_to_55,suburban,44.6,0.33,0,5.5,3.2,0
27,6,Republican,mayor,14,0.828,male,over_55,suburban,44.6,0.33,0,4.8,2.9,0
28,6,Republican,commissioner,14,0.521,male,over_55,suburban,44.6,0.33,0,6.3,1.8,0
29,6,Democrat,mayor,15,0.727,nonbinary,40_to_55,suburban,44.6,0.33,0,6.2,2.2,0
30,6,Republican,council_member,6,0.762,male,40_to_55,suburban,44.6,0.33,0,4.2,2.7,0
31,7,Republican,council_member,9,0.622,male,40_to_55,rural,57.9,0.223,1,4.2,4.1,1
32,7,Democrat,council_member,14,0.607,male,40_to_55,rural,57.9,0.223,1,4.7,3.2,0
33,7,Republican,council_member,13,0.639,male,40_to_55,rural,57.9,0.223,1,3.9,3.8,0
34,7,Republican,commissioner,16,0.521,male,under_40,rural,57.9,0.223,1,4.5,2.4,1
35,7,Democrat,council_member,5,0.871,male,over_55,rural,57.9,0.223,1,3.1,2.8,0
36,8,Democrat,council_member,11,0.517,female,over_55,suburban,68.8,0.535,1,4.3,2.6,0
37,8,Democrat,mayor,1,0.765,female,over_55,suburban,68.8,0.535,1,3.5,3.7,1
38,8,Democrat,commissioner,5,0.53,male,under_40,suburban,68.8,0.535,1,3.5,4.1,1
39,8,Democrat,council_member,4,0.778,female,40_to_55,suburban,68.8,0.535,1,1.9,2.8,1
40,8,Independent,council_member,8,0.467,male,over_55,suburban,68.8,0.535,1,2.4,4.2,0
41,9,Republican,council_member,14,0.724,female,over_55,suburban,79.3,0.423,1,5.6,3.1,0
42,9,Republican,council_member,5,0.62,male,over_55,suburban,79.3,0.423,1,4.5,3.1,1
43,9,Republican,council_member,9,0.568,female,over_55,suburban,79.3,0.423,1,4.4,3.8,0
44,9,Democrat,council_member,11,0.504,female,over_55,suburban,79.3,0.423,1,2.8,2.6,1
45,9,Democrat,mayor,7,0.459,male,40_to_55,suburban,79.3,0.423,1,3.7,2.4,0
46,10,Democrat,council_member,8,0.561,male,40_to_55,suburban,59.0,0.559,1,3.0,2.8,0
47,10,Democrat,council_member,9,0.561,female,over_55,suburban,59.0,0.559,1,3.2,4.3,1
48,10,Republican,council_member,10,0.871,male,40_to_55,suburban,59.0,0.559,1,4.2,2.9,0
49,10,Democrat,mayor,2,0.675,male,under_40,suburban,59.0,0.559,1,4.1,3.0,1
50,10,Democrat,council_member,2,0.536,male,under_40,suburban,59.0,0.559,1,2.7,4.1,1
51,11,Republican,council_member,10,0.459,female,40_to_55,rural,74.4,0.307,0,4.8,3.0,0
52,11,Independent,council_member,14,0.56,male,over_55,rural,74.4,0.307,0,3.6,3.6,1
53,11,Democrat,council_member,6,0.53,male,under_40,rural,74.4,0.307,0,3.7,3.3,1
54,11,Democrat,commissioner,3,0.736,male,over_55,rural,74.4,0.307,0,4.7,2.2,0
55,11,Democrat,council_member,5,0.838,male,under_40,rural,74.4,0.307,0,5.0,3.2,1
56,12,Democrat,council_member,13,0.854,male,40_to_55,urban,65.7,0.224,0,3.1,2.7,1
57,12,Democrat,council_member,3,0.525,male,over_55,urban,65.7,0.224,0,3.6,2.7,0
58,12,Republican,council_member,15,0.841,female,40_to_55,urban,65.7,0.224,0,3.5,2.0,1
59,12,Democrat,council_member,4,0.815,female,over_55,urban,65.7,0.224,0,3.3,4.2,1
60,12,Democrat,council_member,13,0.818,male,under_40,urban,65.7,0.224,0,3.2,3.0,1
61,13,Republican,council_member,16,0.708,male,40_to_55,suburban,50.6,0.272,0,3.7,2.0,1
62,13,Independent,council_member,8,0.747,female,under_40,suburban,50.6,0.272,0,4.3,3.4,0
63,13,Democrat,commissioner,5,0.649,male,40_to_55,suburban,50.6,0.272,0,4.0,3.9,0
64,13,Democrat,commissioner,5,0.817,female,over_55,suburban,50.6,0.272,0,4.1,1.6,1
65,13,Republican,council_member,10,0.805,male,over_55,suburban,50.6,0.272,0,5.8,2.1,0
66,14,Democrat,commissioner,7,0.871,female,40_to_55,rural,75.0,0.465,1,4.3,3.7,1
67,14,Republican,commissioner,13,0.598,male,over_55,rural,75.0,0.465,1,6.1,3.0,0
68,14,Republican,commissioner,15,0.466,male,under_40,rural,75.0,0.465,1,5.5,3.8,0
69,14,Democrat,council_member,9,0.576,male,over_55,rural,75.0,0.465,1,5.2,2.4,1
70,14,Republican,council_member,2,0.704,female,over_55,rural,75.0,0.465,1,4.2,3.2,1
71,15,Independent,council_member,4,0.624,male,over_55,urban,60.6,0.347,1,4.0,4.7,1
72,15,Republican,council_member,6,0.498,female,over_55,urban,60.6,0.347,1,4.8,2.9,0
73,15,Democrat,council_member,9,0.631,male,over_55,urban,60.6,0.347,1,2.7,3.3,0
74,15,Independent,council_member,14,0.738,male,40_to_55,urban,60.6,0.347,1,3.0,5,1
75,15,Democrat,council_member,10,0.877,female,over_55,urban,60.6,0.347,1,3.1,2.8,0
76,16,Democrat,council_member,16,0.803,male,over_55,suburban,51.3,0.425,1,3.6,3.3,1
77,16,Democrat,council_member,5,0.709,male,over_55,suburban,51.3,0.425,1,3.3,4.0,1
78,16,Democrat,council_member,6,0.512,male,over_55,suburban,51.3,0.425,1,3.0,2.9,1
79,16,Democrat,commissioner,16,0.865,female,over_55,suburban,51.3,0.425,1,4.3,2.5,1
80,16,Republican,council_member,13,0.865,male,40_to_55,suburban,51.3,0.425,1,5.3,3.1,0
81,17,Republican,council_member,9,0.689,male,over_55,rural,64.1,0.194,0,6.1,2.8,0
82,17,Independent,council_member,3,0.712,male,over_55,rural,64.1,0.194,0,4.4,3.7,1
83,17,Democrat,commissioner,4,0.465,male,under_40,rural,64.1,0.194,0,3.5,3.0,0
84,17,Republican,council_member,14,0.721,male,over_55,rural,64.1,0.194,0,3.9,2.9,0
85,17,Democrat,council_member,8,0.814,female,over_55,rural,64.1,0.194,0,2.7,2.2,1
86,18,Democrat,commissioner,15,0.462,female,over_55,urban,49.2,0.273,1,4.2,3.3,1
87,18,Independent,council_member,7,0.452,male,40_to_55,urban,49.2,0.273,1,3.1,5,0
88,18,Democrat,commissioner,5,0.874,male,over_55,urban,49.2,0.273,1,3.6,4.2,1
89,18,Democrat,council_member,11,0.427,female,under_40,urban,49.2,0.273,1,3.1,3.3,1
90,18,Republican,council_member,8,0.855,female,over_55,urban,49.2,0.273,1,4.5,3.6,1
91,19,Independent,mayor,16,0.81,male,under_40,rural,51.6,0.354,1,3.8,3.6,1
92,19,Democrat,council_member,11,0.595,male,40_to_55,rural,51.6,0.354,1,3.9,2.6,0
93,19,Democrat,council_member,7,0.618,male,40_to_55,rural,51.6,0.354,1,4.6,2.7,1
94,19,Democrat,commissioner,16,0.451,male,under_40,rural,51.6,0.354,1,3.9,3.9,0
95,19,Republican,council_member,11,0.728,male,over_55,rural,51.6,0.354,1,5.9,2.9,1
96,20,Democrat,mayor,7,0.491,male,over_55,suburban,86.1,0.297,0,4.1,2.3,1
97,20,Democrat,council_member,14,0.809,male,over_55,suburban,86.1,0.297,0,3.7,2.0,0
98,20,Democrat,council_member,10,0.844,female,40_to_55,suburban,86.1,0.297,0,4.7,3.2,1
99,20,Republican,commissioner,3,0.763,female,40_to_55,suburban,86.1,0.297,0,4.5,3.2,0
100,20,Democrat,mayor,6,0.767,female,under_40,suburban,86.1,0.297,0,2.9,2.2,0
101,21,Democrat,council_member,4,0.579,female,over_55,suburban,60.1,0.575,0,3.3,2.6,0
102,21,Democrat,council_member,7,0.773,male,40_to_55,suburban,60.1,0.575,0,4.8,3.4,1
103,21,Democrat,council_member,8,0.65,male,over_55,suburban,60.1,0.575,0,5.8,3.4,0
104,21,Republican,council_member,13,0.746,male,under_40,suburban,60.1,0.575,0,5.4,3.2,0
105,21,Republican,commissioner,12,0.461,male,40_to_55,suburban,60.1,0.575,0,4.5,2.3,0
106,22,Democrat,council_member,4,0.664,female,over_55,urban,85.8,0.619,0,4.2,2.1,1
107,22,Democrat,mayor,9,0.511,male,over_55,urban,85.8,0.619,0,3.7,2.6,0
108,22,Republican,council_member,11,0.818,male,under_40,urban,85.8,0.619,0,3.9,3.3,1
109,22,Democrat,mayor,3,0.563,male,under_40,urban,85.8,0.619,0,3.9,2.8,1
110,22,Republican,council_member,2,0.627,male,over_55,urban,85.8,0.619,0,3.3,2.6,1
111,23,Democrat,mayor,11,0.872,female,over_55,urban,70.3,0.456,1,4.7,3.5,1
112,23,Democrat,commissioner,13,0.608,female,40_to_55,urban,70.3,0.456,1,3.5,3.4,1
113,23,Democrat,council_member,10,0.536,male,over_55,urban,70.3,0.456,1,3.0,3.1,0
114,23,Democrat,council_member,13,0.479,male,under_40,urban,70.3,0.456,1,4.1,2.4,1
115,23,Democrat,council_member,3,0.717,male,40_to_55,urban,70.3,0.456,1,2.8,3.7,1
116,24,Democrat,mayor,3,0.556,male,40_to_55,suburban,64.5,0.208,0,6.0,1.8,0
117,24,Republican,commissioner,5,0.695,female,40_to_55,suburban,64.5,0.208,0,4.6,1.8,1
118,24,Democrat,council_member,15,0.701,male,over_55,suburban,64.5,0.208,0,3.9,2.6,0
119,24,Republican,commissioner,7,0.589,male,over_55,suburban,64.5,0.208,0,4.4,2.7,0
120,24,Republican,commissioner,5,0.822,female,40_to_55,suburban,64.5,0.208,0,5.7,1.7,0
121,25,Republican,mayor,3,0.771,female,over_55,rural,14.9,0.559,0,5.9,3.4,1
